year,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donated,tons_biomaterial_processing,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incinerated,tons_land_application,tons_landfilled,tons_sewer,tons_refuse_discards,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted,sector_farm,sector_foodservice,sector_manufacturing,sector_residential,sector_retail,food_type_breads_&_bakery,food_type_dairy_&_eggs,food_type_dry_goods,food_type_fresh_meat_&_seafood,food_type_frozen,food_type_prepared_foods,food_type_produce,food_type_ready-to-drink_beverages
2022,13490.3809,107666.4486,13046533.8,11120.92466,13324.02887,1483.941899,6931.783577,166.3520276,0.0,2203.104213,0.0,0.0,10191.44859,1.33100962,0.0,86.07686183,0.0,842.0681939,2825.921102,314.7579424,3140.679044,432355416.2,22206714.79,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,226031.2705,970129.9717,213274629.2,210603.9924,223032.408,58768.13033,93865.55306,2998.862462,0.0,12428.41561,0.0,0.0,204072.0982,114.9415511,0.0,2518.426145,0.0,3898.526526,47325.99139,8669.3064,55995.2978,7240700626.0,371720680.1,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,243244.1858,589986.235,184619125.1,197619.163,239969.5093,4864.883715,125325.2792,3274.676506,0.0,42350.34628,0.0,0.0,179703.735,393.0758686,0.0,1367.034296,0.0,16155.31782,50924.99855,5616.998145,56541.99669,7791335330.0,399949182.1,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,254533.5702,1019672.627,138286759.5,254533.5702,254533.5702,7636.007107,72642.68832,0.0,0.0,0.0,0.0,0.0,254533.5702,0.0,0.0,0.0,0.0,0.0,53649.64482,10872.79176,64522.43658,8208196162.0,424222617.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,2620.370006,33216.37701,2399318.28,2186.674713,2589.242092,26.20370006,1313.302661,31.12791399,0.0,402.5673786,0.0,0.0,2016.377006,0.458954646,0.0,16.27202862,0.0,153.5667242,549.0313931,64.43756663,613.4689598,83999760.79,4315403.486,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,27581.45678,245219.9978,37613108.13,19133.79562,26988.37321,3585.589381,10106.44236,593.0835684,0.0,7854.577591,0.0,0.0,15819.99783,8.496770579,0.0,303.1325678,0.0,3002.168452,5751.013598,248.2869154,5999.300513,879883680.4,44980622.02,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,85136.55939,451055.1694,38332602.79,79459.02979,84032.92139,41716.9141,35317.38852,1103.638005,0.0,4573.891597,0.0,0.0,77055.16939,123.4347263,0.0,845.6943045,0.0,1434.731367,17828.45902,3326.362185,21154.8212,2727687907.0,140054869.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,510406.7195,6897256.72,509098710.9,510406.7195,510406.7195,20416.26878,202066.2245,0.0,0.0,0.0,0.0,0.0,510406.7195,0.0,0.0,0.0,0.0,0.0,107581.6412,21802.80569,129384.4469,16459591057.0,850677865.9,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,85379.35394,887712.2594,68005689.92,69725.90944,84280.37512,5122.761237,52686.85228,1098.978824,0.0,14554.46568,0.0,0.0,63585.47023,91.39532952,0.0,486.0511923,0.0,5562.992688,17880.12538,1972.949253,19853.07463,2735592668.0,140467291.9,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,16773.62088,150971.0753,10851380.0,16773.62088,16773.62088,9057.755274,8108.886544,0.0,0.0,0.0,0.0,0.0,16773.62088,0.0,0.0,0.0,0.0,0.0,3535.48179,716.5109367,4251.992727,540915567.2,27956034.8,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,19049.99992,49914.28062,45202257.36,15003.28923,18759.55254,4571.999982,10116.27734,290.4473821,0.0,3756.263309,0.0,0.0,13414.28062,4.282399887,0.0,151.830544,0.0,1432.895665,3984.678884,370.5798832,4355.258767,609641044.9,31265920.9,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,282252.6071,1289003.297,157171219.0,263108.7762,278531.2951,132658.7253,117178.6889,3721.312068,0.0,15422.5189,0.0,0.0,255003.2971,86.03253102,0.0,3181.734201,0.0,4837.712297,59099.97935,10796.75154,69896.73089,9042076983.0,464218825.1,1,0,0,0,0,0,0,0,0,0,0,1,0
